"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\App.js", "JavaScript", 0, 12, 0, 2, 14
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\app.json", "JSON", 32, 0, 0, 1, 33
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\index.js", "JavaScript", 0, 3, 3, 3, 9
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\package-lock.json", "JSON", 9981, 0, 0, 1, 9982
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\package.json", "JSON", 32, 0, 0, 1, 33
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\api\ForgeTrackerAPI.js", "JavaScript", 0, 4, 5, 3, 12
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\ExercisesDetail.js", "JavaScript", 0, 45, 1, 6, 52
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\ExercisesList.js", "JavaScript", 0, 61, 0, 8, 69
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\PersonalRecordBox.js", "JavaScript", 0, 44, 3, 4, 51
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\ProgramDayBox.js", "JavaScript", 0, 231, 7, 17, 255
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\ProgramExerciseDetail.js", "JavaScript", 0, 189, 5, 15, 209
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\SetNumber.js", "JavaScript", 0, 24, 0, 4, 28
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\TrainingProgramBox.js", "JavaScript", 0, 180, 0, 10, 190
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\WeightInput.js", "JavaScript", 0, 31, 0, 4, 35
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\WeightLoggingModal.js", "JavaScript", 0, 140, 7, 18, 165
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\WorkoutBar.js", "JavaScript", 0, 143, 1, 14, 158
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\WorkoutExerciseDetail.js", "JavaScript", 0, 49, 2, 4, 55
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\shared\EditTextInput.js", "JavaScript", 0, 35, 0, 4, 39
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\shared\NumericTextInput.js", "JavaScript", 0, 38, 0, 4, 42
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\shared\SearchBar.js", "JavaScript", 0, 38, 0, 4, 42
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\shared\StandardButton.js", "JavaScript", 0, 32, 8, 4, 44
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\shared\StandardTextInput.js", "JavaScript", 0, 37, 3, 4, 44
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\ExercisePage.js", "JavaScript", 0, 77, 2, 11, 90
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\ExerciseSetRow.js", "JavaScript", 0, 66, 4, 8, 78
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\ExerciseStatsCard.js", "JavaScript", 0, 51, 0, 7, 58
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\RestTimer.js", "JavaScript", 0, 85, 0, 10, 95
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\WorkoutBreakdown.js", "JavaScript", 0, 106, 0, 10, 116
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\context\TrainingProgramsContext.js", "JavaScript", 0, 99, 1, 12, 112
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\context\WorkoutContext.js", "JavaScript", 0, 160, 1, 23, 184
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\context\createDataContext.js", "JavaScript", 0, 17, 0, 6, 23
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\data\dummyData\weightData.js", "JavaScript", 0, 166, 0, 1, 167
